Title,Year of Release,User Rating
Dragon Ball,(1995),8.5
Neon Genesis Evangelion,(1995),8.5
Twin Peaks,(2017),8.5
Boardwalk Empire,(2010),8.5
Samurai Champloo,(2004),8.5
Hora de aventuras,(2010),8.5
Pew News,(2018),8.5
El alquimista de acero,(2003),8.5
Ikinci Bahar,(1998),8.5
Mr. Bean,(1990),8.5
De la Tierra a la Luna,(1998),8.5
Los Conchords,(2007),8.5
The Bugs Bunny/Road Runner Hour,(1968),8.5
The Great British Bake Off,(2010),8.5
Misterio en el espacio,(1988),8.5
Chef's Table,(2015),8.5
Letterkenny,(2016),8.5
Hunter x Hunter,(1999),8.5
Shameless,(2011),8.5
Doctor Who,(2005),8.5
Detectorists,(2014),8.5
Coupling,(2000),8.5
"Love, Death & Robots",(2019),8.5
Agárralos como puedas,(2011),8.5
Los informáticos,(2006),8.5
La historia no contada de los Estados Unidos,(2012),8.5
Mr. Robot,(2015),8.5
Alfred Hitchcock presenta,(1955),8.5
The Defiant Ones,(2017),8.5
Endeavour,(2012),8.5
Naruto: Shippûden,(2007),8.5
Generation Kill,(2008),8.5
Louie,(2010),8.5
Mob Psycho 100,(2016),8.5
Homicidio,(1993),8.5
Silicon Valley,(2014),8.5
GTO,(1999),8.5
The Night Of,(2016),8.5
Whose Line Is It Anyway?,(1998),8.5
Big Little Lies,(2017),8.5
I'm Alan Partridge,(1997),8.5
Spartacus: Dioses de la arena,(2011),8.5
Hannibal,(2013),8.5
Your Lie in April,(2014),8.5
La amiga estupenda: Un mal nombre,(2018),8.5
Juegos sagrados,(2018),8.5
Horace and Pete,(2016),8.5
The Office,(2001),8.5
Ezel,(2009),8.5
Hijos de la anarquía,(2008),8.5
Lo que hacemos en las sombras,(2019),8.5
Las nuevas aventuras de Batman,(1997),8.5
Desaparecido,(2016),8.5
Delhi Crime,(2019),8.5
Black Books,(2000),8.5
John Adams,(2008),8.5
Hilda,(2018),8.5
Spartacus: Sangre y arena,(2010),8.5
Los hermanos Venture,(2003),8.4
Samurai Jack,(2001),8.4
Yellowstone,(2018),8.4
The Punisher,(2017),8.4
Clannad: After Story,(2008),8.4
Harley Quinn,(2019),8.4
Gintama,(2005),8.4
Prisión Wentworth,(2013),8.4
Sseulsseulhago Chalranhashin: Dokkaebi,(2016),8.4
Dr. Horrible's Sing-Along Blog,(2008),8.4
